fighter_name,Height,Weight,Reach,Stance,DOB,SLpM,Str_Acc_%,SApM,Str_Def_%,TD_Avg,TD_Acc_%,TD_Def_%,Sub_Avg
Shamil Abdurakhimov,190,120,193,Orthodox,"Sep 02, 1981",2.45,44,2.45,58,1.23,24,47,0.2
Daichi Abe,180,77,180,Orthodox,"Nov 27, 1991",3.8,33,4.49,56,0.33,50,0,0
Klidson Abreu,183,93,188,Orthodox,"Dec 24, 1992",2.05,40,2.9,55,0.64,20,80,0
Juan Adams,196,120,203,Orthodox,"Jan 16, 1992",7.09,55,4.06,34,0.91,66,57,0
Anthony Adams,185,84,193,Orthodox,"Jan 13, 1988",3.17,41,5.93,44,0,0,0,0
Israel Adesanya,193,84,203,Switch,"Jul 22, 1989",3.95,49,2.63,61,0,0,82,0.3
Zarrukh Adashev,165,57,165,Southpaw,"Jul 29, 1992",1.93,23,3.35,60,0,0,0,0
Mariya Agapova,168,57,173,Southpaw,"Apr 07, 1997",3.7,50,4.15,47,1.23,66,33,0.6
Jessica Aguilar,160,52,160,Orthodox,"May 08, 1982",4.93,50,7.19,53,0.94,25,50,0.2
Kevin Aguilar,170,70,185,Orthodox,"Sep 07, 1988",3.69,37,4.47,53,0.19,25,87,0
Christian Aguilera,175,77,183,Switch,"Nov 25, 1991",3.35,41,4.89,46,0,0,0,0
Rostem Akman,178,77,183,Switch,"Dec 19, 1991",1.8,25,3.97,57,1,40,87,0
Omari Akhmedov,183,84,185,Orthodox,"Oct 12, 1987",2.95,35,2.59,57,2.63,49,65,0.3
Yoshihiro Akiyama,178,77,190,Orthodox,"Jul 29, 1975",3.1,41,3.62,57,2.29,67,92,1
Herdem Alacabek,188,93,190,Orthodox,"Jun 07, 1991",3.84,65,6.66,23,2.06,50,42,0
Mostapha Al-Turk,188,120,196,Orthodox,"Jul 14, 1973",1.36,19,3.61,53,0,0,0,0
Heili Alateng,165,61,168,Orthodox,"Dec 14, 1991",2.87,32,5.82,57,2.33,35,100,0
Amir Albazi,165,57,173,Orthodox,"Oct 27, 1993",4.06,40,3.15,58,2.28,75,66,0.8
John Albert,173,61,173,Orthodox,"Oct 13, 1986",3.05,49,2.82,35,0,0,50,6.1
Aleksandra Albu,157,52,160,Orthodox,"Jul 14, 1990",4.83,47,5.56,38,2.27,50,77,0.4
Junior Albini,190,120,188,Orthodox,"Mar 15, 1991",3.98,51,6.08,52,1.54,37,100,0
Ildemar Alcantara,188,84,198,Orthodox,"Nov 18, 1982",1.93,38,2.63,50,2,68,81,0.9
Iuri Alcantara,175,61,180,Southpaw,"Aug 04, 1980",2.72,45,2.79,49,1.44,62,60,0.8
Hector Aldana,180,77,183,Orthodox,"Aug 17, 1988",3.59,38,5.08,59,0.93,100,0,0
Irene Aldana,175,61,173,Orthodox,"Mar 26, 1988",5.52,38,5.97,61,0.23,50,84,0.1
JJ Aldrich,165,57,170,Southpaw,"Sep 29, 1992",3.76,41,4.55,61,0.8,40,57,0
Jose Aldo,170,61,178,Orthodox,"Sep 09, 1986",3.45,45,3.52,61,0.57,56,91,0.1
Jim Alers,175,66,180,Orthodox,"Oct 14, 1986",2.9,40,4.38,56,2.26,41,80,0.3
Houston Alexander,183,93,183,Orthodox,"Mar 22, 1972",3.06,54,3.2,52,1.19,57,33,0
John Alessio,178,70,183,Orthodox,"Jul 05, 1979",2.1,39,2.91,54,1.85,38,70,1.2
Marcio Alexandre Junior,183,84,190,Southpaw,"May 05, 1989",1.61,45,2.89,42,0.35,20,66,0.7
Bill Algeo,183,66,185,Switch,"Jun 09, 1989",6.8,56,5.31,38,0.67,33,62,0
Sultan Aliev,180,77,188,Orthodox,"Sep 17, 1984",1.41,45,2.2,56,1.76,38,100,0
John Allan,185,93,190,Orthodox,"Feb 22, 1993",2.95,43,4.01,52,1.94,71,50,1.2
Arnold Allen,173,66,178,Southpaw,"Jan 22, 1994",3.19,41,2,67,1.36,52,76,0.5
Ben Alloway,180,77,193,Orthodox,"Feb 19, 1981",1.28,49,1.9,59,0.62,50,26,0
